Abashiri	網走市
Isumi	いすみ市
Itabashi	板橋区
Itako	潮来市
Itakura	板倉町
Itami	伊丹市
Itami	伊丹
Itano	板野町
Itayanagi	板柳町
Itō	伊東市
Itoda	糸田町
Itoigawa	糸魚川市
Itoman	糸満市
Itoshima	糸島市
Iwade	岩出市
Iwai	岩井市
Iwaizumi	岩泉町
Iwaki	いわき市
Iwaki	磐城市
Iwakuni	岩国市
Iwakura	岩倉市
Iwami	岩美町
Iwamizawa	岩見沢市
Iwanai	岩内町
Iwanuma	岩沼市
Iwata	磐田市
Iwate	岩手町
Iyo	伊予市
Iyomishima	伊予三島市
Izu	伊豆市
Izumi	出水市
Izumi	和泉市
Izumiōtsu	泉大津市
Izumisano	泉佐野市
Izumo	出雲市
Izumo	出雲
Izumozaki	出雲崎町
Izunokuni	伊豆の国市
Jinsekikōgen	神石高原町
Jōban	常磐市
Jōetsu	上越市
Jōsō	常総市
Jōyō	城陽市
Kadena	嘉手納町
Kadogawa	門川町
Kadoma	門真市
Kaga	加賀市
Kagamiishi	鏡石町
Kagamino	鏡野町
Kagoshima	鹿児島市
Kagoshima	鹿児島
Kahoku	かほく市
Kahoku	河北町
Kai	甲斐市
Kainan	海南市
Kaisei	開成町
Kaita	海田町
Kaiyō	海陽町
Kaizu	海津市
Kaizuka	貝塚市
Kakamigahara	各務原市
Kakegawa	掛川市
Kakogawa	加古川市
Kakogawa	加古川
Kakuda	角田市
Kama	嘉麻市
Kamagaya	鎌ヶ谷市
Kamaishi	釜石市
Kamakura	鎌倉市
Kameda	亀田市
Kameoka	亀岡市
Kameyama	亀山市
Kami	香美市
Kami	加美町
Kami	香美町
Kami-Amakusa	上天草市
Kamifurano	上富良野町
Kamigōri	上郡町
Kamiichi	上市町
Kamiita	上板町
Kamijima	上島町
Kamikatsu	上勝町
Kamikawa	上川町
Kamikawa	神川町
Kamikawa	神河町
Kamimine	上峰町
Kaminokawa	上三川町
Kaminokuni	上ノ国町
Kaminoseki	上関町
Kaminoyama	上山市
Kamisato	上里町
Kamishihoro	上士幌町
Kamisu	神栖市
Kamisunagawa	上砂川町
Kamitonda	上富田町
Kamiyama	神山町
Kamo	加茂市
Kamogawa	鴨川市
Kan'onji	観音寺市
Kanan	河南町
Kanazawa	金沢市
Kanazawa	金沢
Kanda	苅田町
Kanegasaki	金ケ崎町
Kaneyama	金山町
Kani	可児市
Kanie	蟹江町
Kanmaki	上牧町
Kanna	神流町
Kannami	函南町
Kanoya	鹿屋市
Kanra	甘楽町
Kanuma	鹿沼市
Kanzaki	神埼市
Karatsu	唐津市
Kariya	刈谷市
Karuizawa	軽井沢
Karuizawa	軽井沢町
Karumai	軽米町
Kasagi	笠置町
Kasai	加西市
Kasama	笠間市
Kasamatsu	笠松町
Kasaoka	笠岡市
Kaseda	加世田市
Kashiba	香芝市
Kashihara	橿原市
Kashima	鹿嶋市
Kashima	鹿島市
Kashima	嘉島町
Kashiwa	柏市
Kashiwara	柏原市
Kashiwazaki	柏崎市
Kasuga	春日市
Kasugai	春日井市
Kasugai	鎹
Kasukabe	春日部市
Kasukabe	春日部
Kasumigaura	かすみがうら市
Kasuya	粕屋町
Katagami	潟上市
Katano	交野市
Katō	加東市
Katori	香取市
Katsuragi	葛城市
Katsuragi	かつらぎ町
Katsushika	葛飾区
Katsuta	勝田市
Katsuura	勝浦市
Katsuura	勝浦町
Katsuyama	勝山市
Kawabe	川辺町
Kawachi	河内町
Kawachinagano	河内長野市
Kawagoe	川越市
Kawagoe	川越
Kawagoe	川越町
Kawaguchi	川口市
Kawaguchi	川口
Kawai	河合町
Kawajima	川島町
Kawakita	川北町
Kawamata	川俣町
Kawaminami	川南町
Kawamoto	川本町
Kawanehon	川根本町
Kawanishi	川西市
Kawanishi	川西町
Kawanoe	川之江市
Kawara	香春町
Kawasaki	川崎市
Kawasaki	川崎
Kawasaki	川崎町
Kawatana	川棚町
Kawazu	河津町
Kazo	加須市
Kazuno	鹿角市
Keisen	桂川町
Kenbuchi	剣淵町
Kesennuma	気仙沼市
Kibichūō	吉備中央町
Kihō	紀宝町
Kihoku	紀北町
Kihoku	鬼北町
Kijō	木城町
Kikai	喜界町
Kikonai	木古内町
Kikuchi	菊池市
Kikugawa	菊川市
Kikuyō	菊陽町
Kimino	紀美野町
Kimitsu	君津市
Kimobetsu	喜茂別町
Kimotsuki	肝付町
Kin	金武町
Kinkō	錦江町
Kinokawa	紀の川市
Kirishima	霧島市
Kirishima	霧島
Kiryu	桐生
Kiryū	桐生市
Kisarazu	木更津市
Kishiwada	岸和田市
Kishiwada	岸和田
Kiso	木曽町
Kisosaki	木曽岬町
Kita	北区
Kita-Kyushu	北九州
Kitaakita	北秋田市
Kitagata	北方町
Kitahiroshima	北広島市
Kitahiroshima	北広島町
Kitaibaraki	北茨城市
Kitajima	北島町
Kitakami	北上市
Kitakata	喜多方市
Kitakyushu	北九州市
Kitami	北見市
Kitamoto	北本市
Kitanagoya	北名古屋市
Kitsuki	杵築市
Kiyama	基山町
Kiyosato	清里町
Kiyose	清瀬市
Kiyosu	清須市
Kizugawa	木津川市
Kobayashi	小林市
Kobe	神戸市
Kobe	神戸
Kochi	高知
Kōchi	高知市
Kodaira	小平市
Kofu	国府
Kōfu	甲府市
Kōfu	江府町
Koga	古賀市
Koga	古河市
Koganei	小金井市
Kōge	上毛町
Kōhoku	江北町
Kōka	甲賀市
Kokonoe	九重町
Kokubu	国分市
Kokubunji	国分寺市
Kokura	小倉市
Komae	狛江市
Komagane	駒ヶ根市
Komaki	小牧市
Komatsu	小松市
Komatsushima	小松島市
Komono	菰野町
Komoro	小諸市
Konan	湖南市
Kōnan	江南市
Kōnan	香南市
Kōnosu	鴻巣市
Koori	桑折町
Kōra	甲良町
Koriyama	郡山
Kōriyama	郡山市
Kōryō	広陵町
Kōsa	甲佐町
Kosai	湖西市
Kosaka	小坂町
Kōshi	合志市
Koshigaya	越谷市
Koshigaya	越谷
Koshimizu	小清水町
Kōshū	甲州市
Kōta	幸田町
Kotake	小竹町
Kōtō	江東区
Kotohira	琴平町
Kotoura	琴浦町
Koumi	小海町
Kōya	高野町
Kozagawa	古座川町
Kōzaki	神崎町
Kudamatsu	下松市
Kudoyama	九度山町
Kuji	久慈市
Kujūkuri	九十九里町
Kuki	久喜市
Kumagaya	熊谷市
Kumagaya	熊谷
Kumakōgen	久万高原町
Kumamoto	熊本市
Kumamoto	熊本
Kumano	熊野市
Kumano	熊野町
Kumatori	熊取町
Kumejima	久米島町
Kumenan	久米南町
Kumiyama	久御山町
Kunimi	国見町
Kunisaki	国東市
Kunitachi	国立市
Kunitomi	国富町
Kunneppu	訓子府町
Kurashiki	倉敷市
Kurashiki	倉敷
Kurate	鞍手町
Kurayoshi	倉吉市
Kure	呉市
Kure	呉
Kurihara	栗原市
Kuriyama	栗山町
Kurobe	黒部市
Kuroishi	黒石市
Kuromatsunai	黒松内町
Kuroshio	黒潮町
Kurume	久留米市
Kurume	久留米
Kusatsu	草津市
Kusatsu	草津
Kusatsu	草津町
Kushikino	串木野市
Kushima	串間市
Kushimoto	串本町
Kushiro	釧路市
Kushiro	釧路
Kushiro	釧路町
Kusu	玖珠町
Kutchan	倶知安町
Kuwana	桑名市
Kuzumaki	葛巻町
Kyōgoku	京極町
Kyonan	鋸南町
Kyōtamba	京丹波町
Kyōtanabe	京田辺市
Kyōtango	京丹後市
Kyoto	京都市
Kyoto	京都
Kyōwa	共和町
Machida	町田市
Machida	町田
Maebaru	前原市
Maebashi	前橋市
Maebashi	前橋
Maibara	米原市
Maizuru	舞鶴市
Makinohara	牧之原市
Makubetsu	幕別町
Makurazaki	枕崎市
Mamurogawa	真室川町
Manazuru	真鶴町
Maniwa	真庭市
Mannō	まんのう町
Marugame	丸亀市
Marumori	丸森町
Masaki	松前町
Mashike	増毛町
Mashiki	益城町
Mashiko	益子町
Masuda	益田市
Matsubara	松原市
Matsubara	松原
Matsubushi	松伏町
Matsuda	松田町
Matsudo	松戸市
Matsue	松江市
Matsue	松江
Matsukawa	松川町
Matsumae	松前町
Matsumoto	松本市
Matsumoto	松本
Matsunaga	松永市
Matsuno	松野町
Matsusaka	松阪市
Matsushige	松茂町
Matsushima	松島町
Matsuura	松浦市
Matsuyama	松山市
Matsuyama	松山
Matsuzaki	松崎町
Mattō	松任市
Meguro	目黒区
Meiwa	明和町
Memanbetsu	女満別
Memuro	芽室町
Mibu	壬生町
Midori	みどり市
Mifune	御船町
Mihama	美浜町
Mihama	御浜町
Mihara	三原市
Miharu	三春町
Mikasa	三笠市
Mikawa	三川町
Miki	三木市
Miki	三木町
Mima	美馬市
Mimasaka	美作市
Mimata	三股町
Minabe	みなべ町
Minakami	みなかみ町
Minamata	水俣市
Minami	美波町
Minami-Alps	南アルプス市
Minami-Uonuma	南魚沼市
Minamiaizu	南会津町
Minamiashigara	南足柄市
Minamiawaji	南あわじ市
Minamibōsō	南房総市
Minamichita	南知多町
Minamiechizen	南越前町
Minamifurano	南富良野町
Minamiise	南伊勢町
Minamiizu	南伊豆町
Minamikyūshū	南九州市
Minamioguni	南小国町
Minamiōsumi	南大隅町
Minamisanriku	南三陸町
Minamisatsuma	南さつま市
Minamishimabara	南島原市
Minamisōma	南相馬市
Minamitane	南種子町
Minano	皆野町
Minato	港区
Mine	美祢市
Mino	美濃市
Minobu	身延町
Minoh	箕面市
Minokamo	美濃加茂市
Minowa	箕輪町
Misaki	岬町
Misaki	美咲町
Misasa	三朝町
Misato	三郷市
Misato	美里町
Misato	美郷町
Misawa	三沢市
Mishima	三島市
Mishima	三島町
Mitaka	三鷹市
Mitaka	三鷹
Mitake	御嵩町
Mitane	三種町
Mito	水戸市
Mito	水戸
Mitoyo	三豊市
Mitsuke	見附市
Miura	三浦市
Miyake	三宅町
Miyaki	みやき町
Miyako	宮古市
Miyako	みやこ町
Miyakojima	宮古島市
Miyakonojō	都城市
Miyama	みやま市
Miyashiro	宮代町
Miyawaka	宮若市
Miyazaki	宮崎市
Miyazaki	宮崎
Miyazu	宮津市
Miyoshi	みよし市
Miyoshi	三次市
Miyoshi	三好市
Miyoshi	三芳町
Miyota	御代田町
Mizuho	瑞穂市
Mizuho	瑞穂町
Mizumaki	水巻町
Mizunami	瑞浪市
Mizusawa	水沢市
Mobara	茂原市
Mobara	茂原
Mogami	最上町
Moji	門司市
Monbetsu	紋別市
Mooka	真岡市
Mori	森町
Moriguchi	守口市
Morioka	盛岡市
Morioka	盛岡
Moriya	守谷市
Moriyama	守山市
Moroyama	毛呂山町
Moseushi	妹背牛町
Motegi	茂木町
Motobu	本部町
Motomiya	本宮市
Motosu	本巣市
Motoyama	本山町
Mugi	牟岐町
Mukawa	むかわ町
Mukō	向日市
Munakata	宗像市
Murakami	村上市
Murata	村田町
Murayama	村山市
Muroran	室蘭市
Muroran	室蘭
Muroto	室戸市
Musashimurayama	武蔵村山市
Musashino	武蔵野市
Mutsu	むつ市
Mutsuzawa	睦沢町
Myōkō	妙高市
Nabari	名張市
Nachikatsuura	那智勝浦町
Nagahama	長浜市
Nagai	長井市
Nagaizumi	長泉町
Nagakute	長久手市
Nagano	長野市
Nagano	長野
Naganohara	長野原町
Naganuma	長沼町
Nagaoka	長岡市
Nagaoka	長岡
Nagaokakyō	長岡京市
Nagara	長柄町
Nagareyama	流山市
Nagasaki	長崎市
Nagasaki	長崎
Nagashima	長島町
Nagasu	長洲町
Nagato	長門市
Nagatoro	長瀞町
Nagawa	長和町
Nagayo	長与町
Nagi	奈義町
Nagiso	南木曽町
Nago	名護市
Nagomi	和水町
Nagoya	名古屋市
Nagoya	名古屋
Naha	那覇市
Naha	那覇
Nahari	奈半利町
Naie	奈井江町
Naka	那珂市
Naka	那賀町
Nakadomari	中泊町
Nakafurano	中富良野町
Nakagawa	中川町
Nakagawa	那珂川町
Nakai	中井町
Nakama	中間市
Nakaminato	那珂湊市
Nakano	中野市
Nakano	中野区
Nakanojō	中之条町
Nakanoto	中能登町
Nakashibetsu	中標津町
Nakatane	中種子町
Nakatonbetsu	中頓別町
Nakatosa	中土佐町
Nakatsu	中津市
Nakatsugawa	中津川市
Nakayama	中山町
Nakoso	勿来市
Namegata	行方市
Namegawa	滑川町
Namerikawa	滑川市
Namie	浪江町
Nan'yō	南陽市
Nanae	七飯町
Nanao	七尾市
Nanbu	南部町
Nanjō	南城市
Nankan	南関町
Nankoku	南国市
Nanporo	南幌町
Nantan	南丹市
Nanto	南砺市
Naoshima	直島町
Nara	奈良市
Nara	奈良
Naraha	楢葉町
Narashino	習志野市
Narita	成田市
Narita	成田
Naruto	鳴門市
Nasu	那須
Nasu	那須町
Nasukarasuyama	那須烏山市
Nasushiobara	那須塩原市
Natori	名取市
Nayoro	名寄市
Naze	名瀬市
Nemuro	根室市
Nerima	練馬区
Neyagawa	寝屋川市
Nichinan	日南市
Nichinan	日南町
Nihonmatsu	二本松市
Niigata	新潟市
Niigata	新潟
Niihama	新居浜市
Niihama	新浜
Niikappu	新冠町
Niimi	新見市
Niiza	新座市
Nikaho	にかほ市
Niki	仁木町
Nikko	日光
Nikkō	日光市
Ninohe	二戸市
Ninomiya	二宮町
Nirasaki	韮崎市
Niseko	ニセコ
Niseko	ニセコ町
Nishiaizu	西会津町
Nishihara	西原町
Nishiizu	西伊豆町
Nishikatsura	西桂町
Nishikawa	西川町
Nishiki	錦町
Nishinomiya	西宮市
Nishinoomote	西之表市
Nishinoshima	西ノ島町
Nishio	西尾市
Nishitōkyō	西東京市
Nishiwaga	西和賀町
Nishiwaki	西脇市
Nisshin	日進市
Niyodogawa	仁淀川町
Nobeoka	延岡市
Nobeoka	延岡
Noboribetsu	登別市
Noboribetsu	登別
Noda	野田市
Nōgata	直方市
Nogi	野木町
Noheji	野辺地町
Nomi	能美市
Nonoichi	野々市市
Nose	能勢町
Noshiro	能代市
Noto	能登町
Numata	沼田市
Numata	沼田町
Numazu	沼津市
Numazu	沼津
Nyūzen	入善町
Oamishirasato	大網白里市
Ōarai	大洗町
Obama	小浜市
Obanazawa	尾花沢市
Obihiro	帯広市
Obihiro	帯広
Obira	小平町
Ōbu	大府市
Obuse	小布施町
Ochi	越知町
Ōda	大田市
Ōdai	大台町
Ōdate	大館市
Odawara	小田原市
Odawara	小田原
Ōe	大江町
Ōfunato	大船渡市
Oga	男鹿市
Ogaki	大垣
Ōgaki	大垣市
Ogano	小鹿野町
Ogawa	小川町
Ōgawara	大河原町
Ogi	小城市
Ogōri	小郡市
Ogose	越生町
Ōguchi	大口町
Oguni	小国町
Ōharu	大治町
Ōi	大井町
Ōi	おおい町
Oirase	おいらせ町
Ōishida	大石田町
Ōiso	大磯町
Oita	大分
Ōita	大分市
Ōizumi	大泉町
Ōji	王寺町
Ojika	小値賀町
Ojiya	小千谷市
Okagaki	岡垣町
Ōkawa	大川市
Okaya	岡谷市
Okayama	岡山市
Okayama	岡山
Okazaki	岡崎市
Okazaki	岡崎
Okegawa	桶川市
Oketo	置戸町
Ōki	大木町
Okinawa	沖縄市
Okinawa	沖縄
Okinoshima	隠岐の島町
Okoppe	興部町
Ōkuchi	大口市
Okuizumo	奥出雲町
Ōkuma	大熊町
Okushiri	奥尻町
Okutama	奥多摩町
Ōma	大間町
Ōmachi	大町市
Ōmachi	大町町
Omaezaki	御前崎市
Ōmagari	大曲市
Ōme	青梅市
Ōmihachiman	近江八幡市
Omitama	小美玉市
Omiya	大宮
Ōmu	雄武町
Ōmura	大村市
Ōmuta	大牟田市
Onagawa	女川町
Ōnan	邑南町
Onga	遠賀町
Onjuku	御宿町
Ono	小野市
Ono	小野町
Ōno	大野市
Ōno	大野町
Ōnojō	大野城市
Onomichi	尾道市
Ōra	邑楽町
Osaka	大阪市
Osaka	大阪
Ōsakasayama	大阪狭山市
Ōsaki	大崎市
Ōsaki	大崎町
Ōsakikamijima	大崎上島町
Ōsato	大郷町
Oshamambe	長万部町
Ōshima	大島町
Ōshū	奥州市
Ōta	太田市
Ōta	大田区
Ōtake	大竹市
Ōtaki	大多喜町
Otaru	小樽市
Otaru	小樽
Ōtawara	大田原市
Ōtō	大任町
Otobe	乙部町
Otofuke	音更町
Ōtoyo	大豊町
Ōtsu	大津市
Ōtsuchi	大槌町
Ōtsuki	大月市
Ōtsuki	大月町
Ōwani	大鰐町
Owariasahi	尾張旭市
Owase	尾鷲市
Oyabe	小矢部市
Oyama	小山市
Oyama	小山町
Ōyamazaki	大山崎町
Ōyodo	大淀町
Ōzora	大空町
Ōzu	大洲市
Ōzu	大津町
Pippu	比布町
Rankoshi	蘭越町
Ranzan	嵐山町
Rausu	羅臼町
Rebun	礼文町
Reihoku	苓北町
Rifu	利府町
Rikubetsu	陸別町
Rikuzentakata	陸前高田市
Rishiri	利尻町
Rishirifuji	利尻富士町
Rittō	栗東市
Rokunohe	六戸町
Rumoi	留萌市
Ryūgasaki	龍ヶ崎市
Ryūō	竜王町
Sabae	鯖江市
Sado	佐渡市
Saga	佐賀市
Saga	佐賀
Sagae	寒河江市
Sagamihara	相模原市
Saijō	西条市
Saikai	西海市
Saiki	佐伯市
Saitama	さいたま市
Saitama	埼玉
Saito	西都市
Saka	坂町
Sakado	坂戸市
Sakae	栄町
Sakahogi	坂祝町
Sakai	坂井市
Sakai	堺市
Sakai	堺
Sakai	境町
Sakaide	坂出市
Sakaiminato	境港市
Sakaki	坂城町
Sakata	酒田市
Sakawa	佐川町
Saku	佐久市
Sakuho	佐久穂町
Sakura	佐倉市
Sakura	さくら市
Sakuragawa	桜川市
Sakurai	桜井市
Samani	様似町
Samukawa	寒川町
San'yō-Onoda	山陽小野田市
Sanda	三田市
Sangō	三郷町
Sanjō	三条市
Sanmu	山武市
Sannohe	三戸町
Sano	佐野市
Sanuki	さぬき市
Sapporo	札幌市
Sapporo	札幌
Saroma	佐呂間町
Sasaguri	篠栗町
Sasayama	篠山市
Sasebo	佐世保市
Sasebo	佐世保
Satoshō	里庄町
Satsuma	さつま町
Satsumasendai	薩摩川内市
Satte	幸手市
Sawara	佐原市
Sayama	狭山市
Sayō	佐用町
Saza	佐々町
Seika	精華町
Seirō	聖籠町
Seiyo	西予市
Seki	関市
Sekigahara	関ケ原町
Semboku	仙北市
Sendai	仙台市
Sendai	仙台
Sendai	川内市
Sennan	泉南市
Sera	世羅町
Setagaya	世田谷区
Setana	せたな町
Seto	瀬戸市
Seto	瀬戸
Setouchi	瀬戸内市
Setouchi	瀬戸内町
Settsu	摂津市
Shakotan	積丹町
